FID,publicid,origintime,longitude,latitude,depth,magnitude,magnitudetype,status,phases,type,agency,updatetime,origin_geom
quake.2013p550314,2013p550314,2013-07-23T14:47:40.253,174.4588,-41.5595,8.1641,2.1732,M,automatic,11,,WEL(GNS_Primary),2013-07-23T14:50:33.321,POINT (174.45883 -41.559469)
quake.2013p550311,2013p550311,2013-07-23T14:45:51.689,175.6727,-38.3369,236.3281,2.9904,M,automatic,80,,WEL(GNS_Primary),2013-07-23T14:50:35.811,POINT (175.6727 -38.336925)
quake.2013p550302,2013p550302,2013-07-23T14:41:14.261,175.9479,-38.8361,5.0293,3.4302,M,automatic,97,,WEL(GNS_Primary),2013-07-23T14:46:04.808,POINT (175.94787 -38.83606)
quake.2013p550301,2013p550301,2013-07-23T14:40:52.349,174.0175,-41.7963,5.2344,2.379,M,automatic,10,,WEL(GNS_Primary),2013-07-23T14:42:33.651,POINT (174.01751 -41.796333)
quake.2013p550281,2013p550281,2013-07-23T14:29:49.814,174.2948,-41.5951,8.2812,2.9627,M,automatic,53,,WEL(GNS_Primary),2013-07-23T14:33:13.288,POINT (174.29481 -41.595098)
quake.2013p550275,2013p550275,2013-07-23T14:26:43.791,174.2964,-41.5737,12.207,2.4519,M,automatic,26,,WEL(GNS_Primary),2013-07-23T14:28:42.537,POINT (174.29643 -41.573667)
quake.2013p550272,2013p550272,2013-07-23T14:25:07.185,174.3792,-41.5346,10.9766,2.3933,M,automatic,30,,WEL(GNS_Primary),2013-07-23T14:27:10.678,POINT (174.37923 -41.534607)
quake.2013p550265,2013p550265,2013-07-23T14:21:29.02,174.0594,-41.622,7.6953,1.8728,M,automatic,11,,WEL(GNS_Primary),2013-07-23T14:22:58.397,POINT (174.05942 -41.621961)
quake.2013p550248,2013p550248,2013-07-23T14:12:38.785,174.4893,-41.5512,5.1172,2.3837,M,automatic,12,,WEL(GNS_Primary),2013-07-23T14:14:42.318,POINT (174.48931 -41.551192)
quake.2013p550237,2013p550237,2013-07-23T14:06:35.166,174.2178,-41.6466,6.2891,2.332,M,automatic,25,,WEL(GNS_Primary),2013-07-23T14:08:34.967,POINT (174.21775 -41.646634)
quake.2013p550234,2013p550234,2013-07-23T14:05:00.185,175.8529,-39.5626,18.8867,1.8639,M,automatic,23,,WEL(GNS_Primary),2013-07-23T14:08:23.934,POINT (175.85291 -39.56264)
quake.2013p550226,2013p550226,2013-07-23T14:00:28.43,174.3085,-41.6485,5.1172,1.9605,M,automatic,14,,WEL(GNS_Primary),2013-07-23T14:02:27.81,POINT (174.30854 -41.648468)
quake.2013p550220,2013p550220,2013-07-23T13:57:14.889,174.3582,-41.5942,5.0586,2.3004,M,automatic,24,,WEL(GNS_Primary),2013-07-23T13:59:18.018,POINT (174.35817 -41.59425)
quake.2013p550209,2013p550209,2013-07-23T13:51:39.051,178.3288,-38.2617,10.9766,1.9878,M,automatic,12,,WEL(GNS_Primary),2013-07-23T13:57:45.152,POINT (178.32884 -38.261745)
quake.2013p550203,2013p550203,2013-07-23T13:48:37.019,174.4482,-41.5692,10.7422,2.8328,M,automatic,54,,WEL(GNS_Primary),2013-07-23T13:53:05.43,POINT (174.44817 -41.569165)
quake.2013p550192,2013p550192,2013-07-23T13:42:38.919,176.0975,-38.8793,9.6875,2.3896,M,automatic,11,,WEL(GNS_Primary),2013-07-23T13:45:36.456,POINT (176.09753 -38.879294)
quake.2013p550191,2013p550191,2013-07-23T13:41:45.602,174.5311,-41.6462,12.7344,4.0008,M,automatic,118,,WEL(GNS_Primary),2013-07-23T13:51:30.533,POINT (174.53112 -41.64625)
quake.2013p550188,2013p550188,2013-07-23T13:40:27.211,174.3161,-41.7646,6.5234,2.4501,M,automatic,20,,WEL(GNS_Primary),2013-07-23T13:44:13.93,POINT (174.31613 -41.764632)
quake.2013p550179,2013p550179,2013-07-23T13:35:27.339,174.1818,-41.5563,19.1797,1.9892,M,automatic,12,,WEL(GNS_Primary),2013-07-23T13:37:26.871,POINT (174.18185 -41.556324)
quake.2013p550164,2013p550164,2013-07-23T13:27:25.722,174.4048,-41.5281,9.043,2.559,M,automatic,35,,WEL(GNS_Primary),2013-07-23T13:29:27.269,POINT (174.40483 -41.528062)
quake.2013p550156,2013p550156,2013-07-23T13:23:03.27,173.6995,-41.7328,196.25,2.1289,M,automatic,11,,WEL(GNS_Primary),2013-07-23T13:26:18.815,POINT (173.69953 -41.732776)
quake.2013p550154,2013p550154,2013-07-23T13:22:12.971,174.2591,-41.5865,7.5781,1.7792,M,automatic,10,,WEL(GNS_Primary),2013-07-23T13:23:43.727,POINT (174.25907 -41.58654)
quake.2013p550149,2013p550149,2013-07-23T13:19:52.735,174.2625,-41.5737,5.1172,2.2538,M,automatic,10,,WEL(GNS_Primary),2013-07-23T13:22:05.071,POINT (174.26251 -41.573712)
quake.2013p550141,2013p550141,2013-07-23T13:15:11.779,174.1866,-41.6539,5.0586,1.9282,M,automatic,11,,WEL(GNS_Primary),2013-07-23T13:16:44.031,POINT (174.18657 -41.653851)
quake.2013p550133,2013p550133,2013-07-23T13:11:20.88,176.9233,-39.704,43.0859,2.363,M,automatic,32,,WEL(GNS_Primary),2013-07-23T13:13:32.769,POINT (176.92332 -39.703991)
quake.2013p550129,2013p550129,2013-07-23T13:08:48.057,172.6302,-40.486,132.5,2.8053,M,automatic,12,,WEL(GNS_Primary),2013-07-23T13:11:54.577,POINT (172.63018 -40.485974)
quake.2013p550112,2013p550112,2013-07-23T13:00:07.626,174.4282,-41.516,10.2734,1.8556,M,automatic,13,,WEL(GNS_Primary),2013-07-23T13:03:11.487,POINT (174.42815 -41.516029)
quake.2013p550090,2013p550090,2013-07-23T12:48:15.647,174.42,-41.5083,11.2109,2.0614,M,automatic,17,,WEL(GNS_Primary),2013-07-23T12:50:03.383,POINT (174.42004 -41.508284)
quake.2013p550087,2013p550087,2013-07-23T12:46:10.436,172.8853,-40.1197,357.5,2.9656,M,automatic,11,,WEL(GNS_Primary),2013-07-23T12:49:38.348,POINT (172.88527 -40.119683)
quake.2013p550085,2013p550085,2013-07-23T12:45:46.958,174.551,-41.508,10.0391,2.2381,M,automatic,21,,WEL(GNS_Primary),2013-07-23T12:47:50.11,POINT (174.55099 -41.507969)
quake.2013p550079,2013p550079,2013-07-23T12:42:18.961,174.2858,-41.614,30.5469,2.0324,M,automatic,11,,WEL(GNS_Primary),2013-07-23T12:44:43.343,POINT (174.28585 -41.614019)
quake.2013p550075,2013p550075,2013-07-23T12:40:28.032,174.9279,-40.0939,22.2266,2.7541,M,automatic,51,,WEL(GNS_Primary),2013-07-23T12:43:38.261,POINT (174.92789 -40.093946)
quake.2013p550073,2013p550073,2013-07-23T12:39:21.268,174.1969,-41.631,6.7578,2.5402,M,automatic,33,,WEL(GNS_Primary),2013-07-23T12:41:22.047,POINT (174.19693 -41.631008)
quake.2013p550063,2013p550063,2013-07-23T12:33:37.825,174.2182,-41.5503,25.8594,2.1772,M,automatic,14,,WEL(GNS_Primary),2013-07-23T12:35:34.127,POINT (174.2182 -41.550303)
quake.2013p550058,2013p550058,2013-07-23T12:31:05.699,174.3862,-41.5498,10.5078,2.4657,M,automatic,16,,WEL(GNS_Primary),2013-07-23T12:33:07.366,POINT (174.38625 -41.549827)
quake.2013p550048,2013p550048,2013-07-23T12:25:40.295,174.3414,-41.6878,10.0391,3.6132,M,automatic,77,,WEL(GNS_Primary),2013-07-23T12:29:23.088,POINT (174.34135 -41.687801)
quake.2013p550041,2013p550041,2013-07-23T12:21:58.601,173.9008,-41.8713,5.2344,2.4733,M,automatic,14,,WEL(GNS_Primary),2013-07-23T12:24:34.62,POINT (173.90076 -41.87133)
quake.2013p550035,2013p550035,2013-07-23T12:18:48.401,177.6884,-37.2503,253.9062,3.7151,M,automatic,100,,WEL(GNS_Primary),2013-07-23T12:23:30.445,POINT (177.68838 -37.250347)
quake.2013p550013,2013p550013,2013-07-23T12:07:21.431,174.2057,-41.6133,12.2656,2.0573,M,automatic,13,,WEL(GNS_Primary),2013-07-23T12:09:19.131,POINT (174.20573 -41.613332)
quake.2013p550010,2013p550010,2013-07-23T12:05:24.97,174.2528,-41.6133,5.0586,2.6026,M,automatic,31,,WEL(GNS_Primary),2013-07-23T12:07:44.578,POINT (174.2528 -41.613256)
quake.2013p550004,2013p550004,2013-07-23T12:02:24.706,174.2395,-41.6975,5.0586,2.4559,M,automatic,26,,WEL(GNS_Primary),2013-07-23T12:04:28.122,POINT (174.23952 -41.697531)
quake.2013p550002,2013p550002,2013-07-23T12:01:33.443,174.3718,-41.5748,5.2344,2.2614,M,automatic,11,,WEL(GNS_Primary),2013-07-23T12:04:03.182,POINT (174.3718 -41.574842)
quake.2013p550000,2013p550000,2013-07-23T12:00:10.272,174.3171,-41.6844,8.3398,2.4073,M,automatic,25,,WEL(GNS_Primary),2013-07-23T12:02:23.893,POINT (174.31714 -41.684379)
quake.2013p549984,2013p549984,2013-07-23T11:51:48.253,174.2767,-41.6342,5.1172,2.6839,M,automatic,33,,WEL(GNS_Primary),2013-07-23T11:54:10.27,POINT (174.2767 -41.634187)
quake.2013p549976,2013p549976,2013-07-23T11:47:21.775,174.2646,-41.6322,12.8516,2.0887,M,automatic,11,,WEL(GNS_Primary),2013-07-23T11:50:13.642,POINT (174.26465 -41.632164)
quake.2013p549972,2013p549972,2013-07-23T11:45:34.797,174.2309,-41.631,5.4102,2.4026,M,automatic,27,,WEL(GNS_Primary),2013-07-23T11:49:20.263,POINT (174.23088 -41.630963)
quake.2013p549969,2013p549969,2013-07-23T11:43:50.389,174.4516,-41.5034,11.9141,1.8201,M,automatic,16,,WEL(GNS_Primary),2013-07-23T11:45:43.042,POINT (174.45155 -41.503373)
quake.2013p549966,2013p549966,2013-07-23T11:42:11.916,174.2477,-41.6217,8.1641,2.3363,M,automatic,23,,WEL(GNS_Primary),2013-07-23T11:44:16.496,POINT (174.24769 -41.621656)
quake.2013p549957,2013p549957,2013-07-23T11:37:05.854,174.3841,-41.5539,5.1172,2.097,M,automatic,15,,WEL(GNS_Primary),2013-07-23T11:38:58.815,POINT (174.38411 -41.553935)
quake.2013p549952,2013p549952,2013-07-23T11:34:49.26,174.3558,-41.5581,6.2891,2.0055,M,automatic,19,,WEL(GNS_Primary),2013-07-23T11:36:41.447,POINT (174.35576 -41.558105)
quake.2013p549945,2013p549945,2013-07-23T11:31:05.744,174.2707,-41.6747,5.0586,2.4916,M,automatic,28,,WEL(GNS_Primary),2013-07-23T11:33:27.508,POINT (174.27071 -41.674674)
quake.2013p549926,2013p549926,2013-07-23T11:20:36.689,174.4315,-41.5935,22.8711,2.9167,M,automatic,50,,WEL(GNS_Primary),2013-07-23T11:24:19.396,POINT (174.43153 -41.593489)
quake.2013p549923,2013p549923,2013-07-23T11:19:19.336,174.3542,-41.5741,5.0586,2.2972,M,automatic,23,,WEL(GNS_Primary),2013-07-23T11:21:09.725,POINT (174.35418 -41.574115)
quake.2013p549921,2013p549921,2013-07-23T11:18:04.411,174.2026,-41.5828,20.8203,2.2256,M,automatic,20,,WEL(GNS_Primary),2013-07-23T11:20:02.487,POINT (174.20257 -41.582793)
quake.2013p549911,2013p549911,2013-07-23T11:13:06.525,175.4586,-40.5668,48.0078,2.171,M,automatic,33,,WEL(GNS_Primary),2013-07-23T11:15:09.793,POINT (175.45858 -40.56677)
quake.2013p549898,2013p549898,2013-07-23T11:05:52.474,174.3097,-41.5676,10.0391,1.9499,M,automatic,14,,WEL(GNS_Primary),2013-07-23T11:07:49.831,POINT (174.30966 -41.567592)
quake.2013p549895,2013p549895,2013-07-23T11:04:28.425,174.3072,-41.7414,24.4531,2.2523,M,automatic,11,,WEL(GNS_Primary),2013-07-23T11:06:26.899,POINT (174.30718 -41.741432)
quake.2013p549887,2013p549887,2013-07-23T10:59:50.761,174.3744,-41.5778,29.4922,2.0328,M,automatic,17,,WEL(GNS_Primary),2013-07-23T11:01:52.768,POINT (174.37445 -41.577839)
quake.2013p549881,2013p549881,2013-07-23T10:56:36.176,174.218,-41.6297,5.4102,2.536,M,automatic,31,,WEL(GNS_Primary),2013-07-23T10:59:26.07,POINT (174.21795 -41.629749)
quake.2013p549875,2013p549875,2013-07-23T10:53:37.691,174.3381,-41.5417,17.0703,2.0111,M,automatic,12,,WEL(GNS_Primary),2013-07-23T10:56:20.095,POINT (174.33812 -41.541738)
quake.2013p549867,2013p549867,2013-07-23T10:49:23.93,174.2152,-41.6641,15.6641,3.3479,M,automatic,68,,WEL(GNS_Primary),2013-07-23T10:52:57.157,POINT (174.21515 -41.664075)
quake.2013p549863,2013p549863,2013-07-23T10:47:30.051,174.2085,-41.6572,5.1172,3.0404,M,automatic,15,,WEL(GNS_Primary),2013-07-23T10:50:26.326,POINT (174.20846 -41.657205)
quake.2013p549860,2013p549860,2013-07-23T10:45:39.316,174.2962,-41.6796,5.0586,2.5874,M,automatic,31,,WEL(GNS_Primary),2013-07-23T10:49:25.008,POINT (174.29623 -41.679594)
quake.2013p549854,2013p549854,2013-07-23T10:42:41.598,174.2133,-41.6765,17.3047,3.6765,M,automatic,85,,WEL(GNS_Primary),2013-07-23T10:47:50.206,POINT (174.2133 -41.676533)
quake.2013p549848,2013p549848,2013-07-23T10:39:41.505,174.2723,-41.4608,9.9805,2.6827,M,automatic,53,,WEL(GNS_Primary),2013-07-23T10:42:34.007,POINT (174.27227 -41.460766)
quake.2013p549837,2013p549837,2013-07-23T10:33:31.054,174.2328,-41.6281,5.0586,2.3074,M,automatic,25,,WEL(GNS_Primary),2013-07-23T10:36:24.221,POINT (174.23285 -41.628101)
quake.2013p549832,2013p549832,2013-07-23T10:30:50.9,176.144,-38.7857,5.4688,2.3248,M,automatic,15,,WEL(GNS_Primary),2013-07-23T10:33:47.837,POINT (176.14402 -38.785699)
quake.2013p549830,2013p549830,2013-07-23T10:29:55.386,174.5061,-41.6593,5.1172,3.9981,M,automatic,103,,WEL(GNS_Primary),2013-07-23T10:35:51.519,POINT (174.50609 -41.659277)
quake.2013p549826,2013p549826,2013-07-23T10:27:25.897,174.4532,-41.5343,9.5703,2.9448,M,automatic,56,,WEL(GNS_Primary),2013-07-23T10:30:59.171,POINT (174.45323 -41.534283)
quake.2013p549820,2013p549820,2013-07-23T10:24:34.5,174.2472,-41.6873,5.0586,2.3196,M,automatic,21,,WEL(GNS_Primary),2013-07-23T10:26:45.505,POINT (174.24721 -41.68733)
quake.2013p549808,2013p549808,2013-07-23T10:17:52.256,174.175,-41.1995,20,3.3691,M,automatic,14,,WEL(GNS_Primary),2013-07-23T10:21:21.992,POINT (174.17504 -41.199518)
quake.2013p549807,2013p549807,2013-07-23T10:17:36.342,174.2932,-41.6791,5.0586,3.0766,M,automatic,60,,WEL(GNS_Primary),2013-07-23T16:18:01.497,POINT (174.29322 -41.679089)
quake.2013p549799,2013p549799,2013-07-23T10:14:13.318,174.2604,-41.6085,5.0586,2.6703,M,automatic,30,,WEL(GNS_Primary),2013-07-23T10:17:01.451,POINT (174.26045 -41.608476)
quake.2013p549796,2013p549796,2013-07-23T10:11:47.17,178.6974,-38.1012,34.5312,2.2978,M,automatic,16,,WEL(GNS_Primary),2013-07-23T10:19:09.25,POINT (178.69737 -38.101171)
quake.2013p549776,2013p549776,2013-07-23T10:01:09.984,174.3219,-41.4793,5.0586,2.3273,M,automatic,30,,WEL(GNS_Primary),2013-07-23T10:04:12.259,POINT (174.32187 -41.479327)
quake.2013p549770,2013p549770,2013-07-23T09:57:38.114,174.1894,-41.5991,20.3516,2.3816,M,automatic,24,,WEL(GNS_Primary),2013-07-23T10:09:13.557,POINT (174.18935 -41.599087)
quake.2013p549765,2013p549765,2013-07-23T09:54:57.344,174.2957,-41.5997,5.1172,2.2079,M,automatic,21,,WEL(GNS_Primary),2013-07-23T10:08:16.879,POINT (174.29568 -41.599711)
quake.2013p549761,2013p549761,2013-07-23T09:52:52.643,174.2095,-41.6449,5.7617,2.0072,M,automatic,14,,WEL(GNS_Primary),2013-07-23T09:54:38.408,POINT (174.20951 -41.644933)
quake.2013p549752,2013p549752,2013-07-23T09:47:55.232,174.1531,-41.6556,5.1172,2.2851,M,automatic,18,,WEL(GNS_Primary),2013-07-23T09:50:03.029,POINT (174.15313 -41.65558)
quake.2013p549748,2013p549748,2013-07-23T09:45:57.14,174.3426,-41.637,11.2109,2.3544,M,automatic,32,,WEL(GNS_Primary),2013-07-23T09:49:45.862,POINT (174.34265 -41.636959)
quake.2013p549725,2013p549725,2013-07-23T09:33:55.697,174.3545,-41.5668,30.7812,1.7956,M,automatic,10,,WEL(GNS_Primary),2013-07-23T09:35:22.236,POINT (174.35448 -41.566825)
quake.2013p549715,2013p549715,2013-07-23T09:28:22.409,174.2152,-41.6743,11.5039,2.941,M,automatic,49,,WEL(GNS_Primary),2013-07-23T09:52:09.091,POINT (174.21518 -41.674294)
quake.2013p549707,2013p549707,2013-07-23T09:23:59.954,174.1861,-41.6624,13.3203,1.6924,M,automatic,12,,WEL(GNS_Primary),2013-07-23T09:25:38.299,POINT (174.18607 -41.662387)
quake.2013p549702,2013p549702,2013-07-23T09:21:41.012,174.1299,-41.6044,9.9219,2.4494,M,automatic,14,,WEL(GNS_Primary),2013-07-23T09:24:52.081,POINT (174.12994 -41.60443)
quake.2013p549664,2013p549664,2013-07-23T09:01:05.153,174.2267,-41.6386,5.1172,2.2241,M,automatic,15,,WEL(GNS_Primary),2013-07-23T09:04:22.217,POINT (174.22667 -41.638555)
quake.2013p549638,2013p549638,2013-07-23T08:47:18.868,174.1451,-41.6526,5.0586,2.0379,M,automatic,12,,WEL(GNS_Primary),2013-07-23T08:48:58.241,POINT (174.14508 -41.652632)
quake.2013p549628,2013p549628,2013-07-23T08:42:14.714,174.3684,-41.5877,7.4609,2.5418,M,automatic,21,,WEL(GNS_Primary),2013-07-23T08:45:56.617,POINT (174.36838 -41.58767)
quake.2013p549608,2013p549608,2013-07-23T08:31:25.467,174.3158,-41.6203,5.3516,2.138,M,automatic,15,,WEL(GNS_Primary),2013-07-23T08:33:20.61,POINT (174.31578 -41.620321)
quake.2013p549599,2013p549599,2013-07-23T08:26:48.219,174.2134,-41.6501,5.0586,2.9174,M,automatic,47,,WEL(GNS_Primary),2013-07-23T08:30:28.965,POINT (174.21338 -41.650051)
quake.2013p549596,2013p549596,2013-07-23T08:24:55.429,174.3191,-41.5979,13.5547,2.7648,M,automatic,38,,WEL(GNS_Primary),2013-07-23T08:27:25.385,POINT (174.31908 -41.597897)
quake.2013p549590,2013p549590,2013-07-23T08:21:28.923,175.4396,-40.9034,68.75,2.9421,M,automatic,11,,WEL(GNS_Primary),2013-07-23T08:24:14.45,POINT (175.43964 -40.903437)
