Time,Browser,OS
2014-08-01T00:10:31.000Z,Safari,OSX
2014-08-01T00:10:31.000Z,IE,Windows
2014-08-01T00:10:32.000Z,Firefox,OSX
2014-08-01T00:10:32.000Z,Firefox,Windows
2014-08-01T00:10:32.000Z,Firefox,Linux
2014-08-01T00:10:32.000Z,Chrome,Windows
2014-08-01T00:10:32.000Z,Chrome,OSX
2014-08-01T00:10:32.000Z,Safari,OSX
2014-08-01T00:10:32.000Z,IE,Windows
2014-08-01T00:10:33.000Z,Firefox,OSX
2014-08-01T00:10:33.000Z,Firefox,Windows
2014-08-01T00:10:33.000Z,Firefox,Linux
2014-08-01T00:10:33.000Z,Chrome,Windows
2014-08-01T00:10:33.000Z,Chrome,OSX
2014-08-01T00:10:33.000Z,Safari,OSX
2014-08-01T00:10:33.000Z,IE,Windows
2014-08-01T00:10:34.000Z,Firefox,OSX
2014-08-01T00:10:34.000Z,Firefox,Windows
2014-08-01T00:10:34.000Z,Firefox,Linux
2014-08-01T00:10:34.000Z,Chrome,Windows
2014-08-01T00:10:34.000Z,Chrome,OSX
2014-08-01T00:10:34.000Z,Safari,OSX
2014-08-01T00:10:34.000Z,IE,Windows
2014-08-01T00:10:35.000Z,Firefox,OSX
2014-08-01T00:10:35.000Z,Firefox,Windows
2014-08-01T00:10:35.000Z,Firefox,Linux
2014-08-01T00:10:35.000Z,Chrome,Windows
2014-08-01T00:10:35.000Z,Chrome,OSX
2014-08-01T00:10:35.000Z,Safari,OSX
2014-08-01T00:10:35.000Z,IE,Windows
2014-08-01T00:10:36.000Z,Firefox,OSX
2014-08-01T00:10:36.000Z,Firefox,Windows
2014-08-01T00:10:36.000Z,Firefox,Linux
2014-08-01T00:10:36.000Z,Chrome,Windows
2014-08-01T00:10:36.000Z,Chrome,OSX
2014-08-01T00:10:36.000Z,Safari,OSX
2014-08-01T00:10:36.000Z,IE,Windows
2014-08-01T00:10:37.000Z,Firefox,OSX
2014-08-01T00:10:37.000Z,Firefox,Windows
2014-08-01T00:10:37.000Z,Firefox,Linux
2014-08-01T00:10:37.000Z,Chrome,Windows
2014-08-01T00:10:37.000Z,Chrome,OSX
2014-08-01T00:10:37.000Z,Safari,OSX
2014-08-01T00:10:37.000Z,IE,Windows
2014-08-01T00:10:38.000Z,Firefox,OSX
2014-08-01T00:10:38.000Z,Firefox,Windows
2014-08-01T00:10:38.000Z,Firefox,Linux
2014-08-01T00:10:38.000Z,Chrome,Windows
2014-08-01T00:10:38.000Z,Chrome,OSX
2014-08-01T00:10:38.000Z,Safari,OSX
2014-08-01T00:10:38.000Z,IE,Windows
2014-08-01T00:10:39.000Z,Firefox,OSX
2014-08-01T00:10:39.000Z,Firefox,Windows
2014-08-01T00:10:39.000Z,Firefox,Linux
2014-08-01T00:10:39.000Z,Chrome,Windows
2014-08-01T00:10:39.000Z,Chrome,OSX
2014-08-01T00:10:39.000Z,Safari,OSX
2014-08-01T00:10:39.000Z,IE,Windows
2014-08-01T00:10:40.000Z,Firefox,OSX
2014-08-01T00:10:40.000Z,Firefox,Windows
2014-08-01T00:10:40.000Z,Firefox,Linux
2014-08-01T00:10:40.000Z,Chrome,Windows
2014-08-01T00:10:40.000Z,Chrome,OSX
2014-08-01T00:10:40.000Z,Safari,OSX
2014-08-01T00:10:40.000Z,IE,Windows
2014-08-01T00:10:41.000Z,Firefox,OSX
2014-08-01T00:10:41.000Z,Firefox,Windows
2014-08-01T00:10:41.000Z,Firefox,Linux
2014-08-01T00:10:41.000Z,Chrome,Windows
2014-08-01T00:10:41.000Z,Chrome,OSX
2014-08-01T00:10:41.000Z,Safari,OSX
2014-08-01T00:10:41.000Z,IE,Windows
2014-08-01T00:10:42.000Z,Firefox,OSX
2014-08-01T00:10:42.000Z,Firefox,Windows
2014-08-01T00:10:42.000Z,Firefox,Linux
2014-08-01T00:10:42.000Z,Chrome,Windows
2014-08-01T00:10:42.000Z,Chrome,OSX
2014-08-01T00:10:42.000Z,Safari,OSX
2014-08-01T00:10:42.000Z,IE,Windows
2014-08-01T00:10:43.000Z,Firefox,OSX
2014-08-01T00:10:43.000Z,Firefox,Windows
2014-08-01T00:10:43.000Z,Firefox,Linux
2014-08-01T00:10:43.000Z,Chrome,Windows
2014-08-01T00:10:43.000Z,Chrome,OSX
2014-08-01T00:10:43.000Z,Safari,OSX
2014-08-01T00:10:43.000Z,IE,Windows
2014-08-01T00:10:44.000Z,Firefox,OSX
2014-08-01T00:10:44.000Z,Firefox,Windows
2014-08-01T00:10:44.000Z,Firefox,Linux
2014-08-01T00:10:44.000Z,Chrome,Windows
2014-08-01T00:10:44.000Z,Chrome,OSX
2014-08-01T00:10:44.000Z,Safari,OSX
2014-08-01T00:10:44.000Z,IE,Windows
2014-08-01T00:10:45.000Z,Firefox,OSX
2014-08-01T00:10:45.000Z,Firefox,Windows
2014-08-01T00:10:45.000Z,Firefox,Linux
2014-08-01T00:10:45.000Z,Chrome,Windows
2014-08-01T00:10:45.000Z,Chrome,OSX
2014-08-01T00:10:45.000Z,Safari,OSX
2014-08-01T00:10:45.000Z,IE,Windows
2014-08-01T00:10:46.000Z,Firefox,OSX
2014-08-01T00:10:46.000Z,Firefox,Windows
2014-08-01T00:10:46.000Z,Firefox,Linux
2014-08-01T00:10:46.000Z,Chrome,Windows
2014-08-01T00:10:46.000Z,Chrome,OSX
2014-08-01T00:10:46.000Z,Safari,OSX
2014-08-01T00:10:46.000Z,IE,Windows
2014-08-01T00:10:47.000Z,Firefox,OSX
2014-08-01T00:10:47.000Z,Firefox,Windows
2014-08-01T00:10:47.000Z,Firefox,Linux
2014-08-01T00:10:47.000Z,Chrome,Windows
2014-08-01T00:10:47.000Z,Chrome,OSX
2014-08-01T00:10:47.000Z,Safari,OSX
2014-08-01T00:10:47.000Z,IE,Windows
2014-08-01T00:10:48.000Z,Firefox,OSX
2014-08-01T00:10:48.000Z,Firefox,Windows
2014-08-01T00:10:48.000Z,Firefox,Linux
2014-08-01T00:10:48.000Z,Chrome,Windows
2014-08-01T00:10:48.000Z,Chrome,OSX
2014-08-01T00:10:48.000Z,Safari,OSX
2014-08-01T00:10:48.000Z,IE,Windows
2014-08-01T00:10:49.000Z,Firefox,OSX
2014-08-01T00:10:49.000Z,Firefox,Windows
2014-08-01T00:10:49.000Z,Firefox,Linux
2014-08-01T00:10:49.000Z,Chrome,Windows
2014-08-01T00:10:49.000Z,Chrome,OSX
2014-08-01T00:10:49.000Z,Safari,OSX
2014-08-01T00:10:49.000Z,IE,Windows
2014-08-01T00:10:50.000Z,Firefox,OSX
2014-08-01T00:10:50.000Z,Firefox,Windows
2014-08-01T00:10:50.000Z,Firefox,Linux
2014-08-01T00:10:50.000Z,Chrome,Windows
2014-08-01T00:10:50.000Z,Chrome,OSX
2014-08-01T00:10:50.000Z,Safari,OSX
2014-08-01T00:10:50.000Z,IE,Windows
2014-08-01T00:10:51.000Z,Firefox,OSX
2014-08-01T00:10:51.000Z,Firefox,Windows
2014-08-01T00:10:51.000Z,Firefox,Linux
2014-08-01T00:10:51.000Z,Chrome,Windows
2014-08-01T00:10:51.000Z,Chrome,OSX
2014-08-01T00:10:51.000Z,Safari,OSX
2014-08-01T00:10:51.000Z,IE,Windows
2014-08-01T00:10:52.000Z,Firefox,OSX
2014-08-01T00:10:52.000Z,Firefox,Windows
2014-08-01T00:10:52.000Z,Firefox,Linux
2014-08-01T00:10:52.000Z,Chrome,Windows
2014-08-01T00:10:52.000Z,Chrome,OSX
2014-08-01T00:10:52.000Z,Safari,OSX
2014-08-01T00:10:52.000Z,IE,Windows
2014-08-01T00:10:53.000Z,Firefox,OSX
2014-08-01T00:10:53.000Z,Firefox,Windows
2014-08-01T00:10:53.000Z,Firefox,Linux
2014-08-01T00:10:53.000Z,Chrome,Windows
2014-08-01T00:10:53.000Z,Chrome,OSX
2014-08-01T00:10:53.000Z,Safari,OSX
2014-08-01T00:10:53.000Z,IE,Windows
2014-08-01T00:10:54.000Z,Firefox,OSX
2014-08-01T00:10:54.000Z,Firefox,Windows
2014-08-01T00:10:54.000Z,Firefox,Linux
2014-08-01T00:10:54.000Z,Chrome,Windows
2014-08-01T00:10:54.000Z,Chrome,OSX
2014-08-01T00:10:54.000Z,Safari,OSX
2014-08-01T00:10:54.000Z,IE,Windows
2014-08-01T00:10:55.000Z,Firefox,OSX
2014-08-01T00:10:55.000Z,Firefox,Windows
2014-08-01T00:10:55.000Z,Firefox,Linux
2014-08-01T00:10:55.000Z,Chrome,Windows
2014-08-01T00:10:55.000Z,Chrome,OSX
2014-08-01T00:10:55.000Z,Safari,OSX
2014-08-01T00:10:55.000Z,IE,Windows
2014-08-01T00:10:56.000Z,Firefox,OSX
2014-08-01T00:10:56.000Z,Firefox,Windows
2014-08-01T00:10:56.000Z,Firefox,Linux
2014-08-01T00:10:56.000Z,Chrome,Windows
2014-08-01T00:10:56.000Z,Chrome,OSX
2014-08-01T00:10:56.000Z,Safari,OSX
2014-08-01T00:10:56.000Z,IE,Windows
2014-08-01T00:10:57.000Z,Firefox,OSX
2014-08-01T00:10:57.000Z,Firefox,Windows
2014-08-01T00:10:57.000Z,Firefox,Linux
2014-08-01T00:10:57.000Z,Chrome,Windows
2014-08-01T00:10:57.000Z,Chrome,OSX
2014-08-01T00:10:57.000Z,Safari,OSX
2014-08-01T00:10:57.000Z,IE,Windows
2014-08-01T00:10:58.000Z,Firefox,OSX
2014-08-01T00:10:58.000Z,Firefox,Windows
2014-08-01T00:10:58.000Z,Firefox,Linux
2014-08-01T00:10:58.000Z,Chrome,Windows
2014-08-01T00:10:58.000Z,Chrome,OSX
2014-08-01T00:10:58.000Z,Safari,OSX
2014-08-01T00:10:58.000Z,IE,Windows
2014-08-01T00:10:59.000Z,Firefox,OSX
2014-08-01T00:10:59.000Z,Firefox,Windows
2014-08-01T00:10:59.000Z,Firefox,Linux
2014-08-01T00:10:59.000Z,Chrome,Windows
2014-08-01T00:10:59.000Z,Chrome,OSX
2014-08-01T00:10:59.000Z,Safari,OSX
2014-08-01T00:10:59.000Z,IE,Windows
2014-08-01T00:11:10.000Z,Firefox,OSX
2014-08-01T00:11:10.000Z,Firefox,Windows
2014-08-01T00:11:10.000Z,Firefox,Linux
2014-08-01T00:11:10.000Z,Chrome,Windows
2014-08-01T00:11:10.000Z,Chrome,OSX
2014-08-01T00:11:10.000Z,Safari,OSX
2014-08-01T00:11:10.000Z,IE,Windows
2014-08-01T00:11:11.000Z,Firefox,OSX
2014-08-01T00:11:11.000Z,Firefox,Windows
2014-08-01T00:11:11.000Z,Firefox,Linux
2014-08-01T00:11:11.000Z,Chrome,Windows
2014-08-01T00:11:11.000Z,Chrome,OSX
2014-08-01T00:11:11.000Z,Safari,OSX
2014-08-01T00:11:11.000Z,IE,Windows
2014-08-01T00:11:12.000Z,Firefox,OSX
2014-08-01T00:11:12.000Z,Firefox,Windows
2014-08-01T00:11:12.000Z,Firefox,Linux
2014-08-01T00:11:12.000Z,Chrome,Windows
2014-08-01T00:11:12.000Z,Chrome,OSX
2014-08-01T00:11:12.000Z,Safari,OSX
2014-08-01T00:11:12.000Z,IE,Windows
2014-08-01T00:11:13.000Z,Firefox,OSX
2014-08-01T00:11:13.000Z,Firefox,Windows
2014-08-01T00:11:13.000Z,Firefox,Linux
2014-08-01T00:11:13.000Z,Chrome,Windows
2014-08-01T00:11:13.000Z,Chrome,OSX
2014-08-01T00:11:13.000Z,Safari,OSX
2014-08-01T00:11:13.000Z,IE,Windows
2014-08-01T00:11:14.000Z,Firefox,OSX
2014-08-01T00:11:14.000Z,Firefox,Windows
2014-08-01T00:11:14.000Z,Firefox,Linux
2014-08-01T00:11:14.000Z,Chrome,Windows
2014-08-01T00:11:14.000Z,Chrome,OSX
2014-08-01T00:11:14.000Z,Safari,OSX
2014-08-01T00:11:14.000Z,IE,Windows
2014-08-01T00:11:15.000Z,Firefox,OSX
2014-08-01T00:11:15.000Z,Firefox,Windows
2014-08-01T00:11:15.000Z,Firefox,Linux
2014-08-01T00:11:15.000Z,Chrome,Windows
2014-08-01T00:11:15.000Z,Chrome,OSX
2014-08-01T00:11:15.000Z,Safari,OSX
2014-08-01T00:11:15.000Z,IE,Windows
2014-08-01T00:11:16.000Z,Firefox,OSX
2014-08-01T00:11:16.000Z,Firefox,Windows
2014-08-01T00:11:16.000Z,Firefox,Linux
2014-08-01T00:11:16.000Z,Chrome,Windows
2014-08-01T00:11:16.000Z,Chrome,OSX
2014-08-01T00:11:16.000Z,Safari,OSX
2014-08-01T00:11:16.000Z,IE,Windows
2014-08-01T00:11:17.000Z,Firefox,OSX
2014-08-01T00:11:17.000Z,Firefox,Windows
2014-08-01T00:11:17.000Z,Firefox,Linux
2014-08-01T00:11:17.000Z,Chrome,Windows
2014-08-01T00:11:17.000Z,Chrome,OSX
2014-08-01T00:11:17.000Z,Safari,OSX
2014-08-01T00:11:17.000Z,IE,Windows
2014-08-01T00:11:18.000Z,Firefox,OSX
2014-08-01T00:11:18.000Z,Firefox,Windows
2014-08-01T00:11:18.000Z,Firefox,Linux
2014-08-01T00:11:18.000Z,Chrome,Windows
2014-08-01T00:11:18.000Z,Chrome,OSX
2014-08-01T00:11:18.000Z,Safari,OSX
2014-08-01T00:11:18.000Z,IE,Windows
2014-08-01T00:11:19.000Z,Firefox,OSX
2014-08-01T00:11:19.000Z,Firefox,Windows
2014-08-01T00:11:19.000Z,Firefox,Linux
2014-08-01T00:11:19.000Z,Chrome,Windows
2014-08-01T00:11:19.000Z,Chrome,OSX
2014-08-01T00:11:19.000Z,Safari,OSX
2014-08-01T00:11:19.000Z,IE,Windows
2014-08-01T00:11:20.000Z,Firefox,OSX
2014-08-01T00:11:20.000Z,Firefox,Windows
2014-08-01T00:11:20.000Z,Firefox,Linux
2014-08-01T00:11:20.000Z,Chrome,Windows
2014-08-01T00:11:20.000Z,Chrome,OSX
2014-08-01T00:11:20.000Z,Safari,OSX
2014-08-01T00:11:20.000Z,IE,Windows
2014-08-01T00:11:21.000Z,Firefox,OSX
2014-08-01T00:11:21.000Z,Firefox,Windows
2014-08-01T00:11:21.000Z,Firefox,Linux
2014-08-01T00:11:21.000Z,Chrome,Windows
2014-08-01T00:11:21.000Z,Chrome,OSX
2014-08-01T00:11:21.000Z,Safari,OSX
2014-08-01T00:11:21.000Z,IE,Windows
2014-08-01T00:11:22.000Z,Firefox,OSX
2014-08-01T00:11:22.000Z,Firefox,Windows
2014-08-01T00:11:22.000Z,Firefox,Linux
2014-08-01T00:11:22.000Z,Chrome,Windows
2014-08-01T00:11:22.000Z,Chrome,OSX
2014-08-01T00:11:22.000Z,Safari,OSX
2014-08-01T00:11:22.000Z,IE,Windows
2014-08-01T00:11:23.000Z,Firefox,OSX
2014-08-01T00:11:23.000Z,Firefox,Windows
2014-08-01T00:11:23.000Z,Firefox,Linux
2014-08-01T00:11:23.000Z,Chrome,Windows
2014-08-01T00:11:23.000Z,Chrome,OSX
2014-08-01T00:11:23.000Z,Safari,OSX
2014-08-01T00:11:23.000Z,IE,Windows
2014-08-01T00:11:24.000Z,Firefox,OSX
2014-08-01T00:11:24.000Z,Firefox,Windows
2014-08-01T00:11:24.000Z,Firefox,Linux
2014-08-01T00:11:24.000Z,Chrome,Windows
2014-08-01T00:11:24.000Z,Chrome,OSX
2014-08-01T00:11:24.000Z,Safari,OSX
2014-08-01T00:11:24.000Z,IE,Windows
2014-08-01T00:11:25.000Z,Firefox,OSX
2014-08-01T00:11:25.000Z,Firefox,Windows
2014-08-01T00:11:25.000Z,Firefox,Linux
2014-08-01T00:11:25.000Z,Chrome,Windows
2014-08-01T00:11:25.000Z,Chrome,OSX
2014-08-01T00:11:25.000Z,Safari,OSX
2014-08-01T00:11:25.000Z,IE,Windows
2014-08-01T00:11:26.000Z,Firefox,OSX
2014-08-01T00:11:26.000Z,Firefox,Windows
2014-08-01T00:11:26.000Z,Firefox,Linux
2014-08-01T00:11:26.000Z,Chrome,Windows
2014-08-01T00:11:26.000Z,Chrome,OSX
2014-08-01T00:11:26.000Z,Safari,OSX
2014-08-01T00:11:26.000Z,IE,Windows
2014-08-01T00:11:27.000Z,Firefox,OSX
2014-08-01T00:11:27.000Z,Firefox,Windows
2014-08-01T00:11:27.000Z,Firefox,Linux
2014-08-01T00:11:27.000Z,Chrome,Windows
2014-08-01T00:11:27.000Z,Chrome,OSX
2014-08-01T00:11:27.000Z,Safari,OSX
2014-08-01T00:11:27.000Z,IE,Windows
2014-08-01T00:11:28.000Z,Firefox,OSX
2014-08-01T00:11:28.000Z,Firefox,Windows
2014-08-01T00:11:28.000Z,Firefox,Linux
2014-08-01T00:11:28.000Z,Chrome,Windows
2014-08-01T00:11:28.000Z,Chrome,OSX
2014-08-01T00:11:28.000Z,Safari,OSX
2014-08-01T00:11:28.000Z,IE,Windows
2014-08-01T00:11:29.000Z,Firefox,OSX
2014-08-01T00:11:29.000Z,Firefox,Windows
2014-08-01T00:11:29.000Z,Firefox,Linux
2014-08-01T00:11:29.000Z,Chrome,Windows
2014-08-01T00:11:29.000Z,Chrome,OSX
2014-08-01T00:11:29.000Z,Safari,OSX
2014-08-01T00:11:29.000Z,IE,Windows
2014-08-01T00:11:30.000Z,Firefox,OSX
2014-08-01T00:11:30.000Z,Firefox,Windows
2014-08-01T00:11:30.000Z,Firefox,Linux
2014-08-01T00:11:30.000Z,Chrome,Windows
2014-08-01T00:11:30.000Z,Chrome,OSX
2014-08-01T00:11:30.000Z,Safari,OSX
2014-08-01T00:11:30.000Z,IE,Windows
2014-08-01T00:11:31.000Z,Firefox,OSX
2014-08-01T00:11:31.000Z,Firefox,Windows
2014-08-01T00:11:31.000Z,Firefox,Linux
2014-08-01T00:11:31.000Z,Chrome,Windows
2014-08-01T00:11:31.000Z,Chrome,OSX
2014-08-01T00:11:31.000Z,Safari,OSX
2014-08-01T00:11:31.000Z,IE,Windows
2014-08-01T00:11:32.000Z,Firefox,OSX
2014-08-01T00:11:32.000Z,Firefox,Windows
2014-08-01T00:11:32.000Z,Firefox,Linux
2014-08-01T00:11:32.000Z,Chrome,Windows
2014-08-01T00:11:32.000Z,Chrome,OSX
2014-08-01T00:11:32.000Z,Safari,OSX
2014-08-01T00:11:32.000Z,IE,Windows
2014-08-01T00:11:33.000Z,Firefox,OSX
2014-08-01T00:11:33.000Z,Firefox,Windows
2014-08-01T00:11:33.000Z,Firefox,Linux
2014-08-01T00:11:33.000Z,Chrome,Windows
2014-08-01T00:11:33.000Z,Chrome,OSX
2014-08-01T00:11:33.000Z,Safari,OSX
2014-08-01T00:11:33.000Z,IE,Windows
2014-08-01T00:11:34.000Z,Firefox,OSX
2014-08-01T00:11:34.000Z,Firefox,Windows
2014-08-01T00:11:34.000Z,Firefox,Linux
2014-08-01T00:11:34.000Z,Chrome,Windows
2014-08-01T00:11:34.000Z,Chrome,OSX
2014-08-01T00:11:34.000Z,Safari,OSX
2014-08-01T00:11:34.000Z,IE,Windows
2014-08-01T00:11:35.000Z,Firefox,OSX
2014-08-01T00:11:35.000Z,Firefox,Windows
2014-08-01T00:11:35.000Z,Firefox,Linux
2014-08-01T00:11:35.000Z,Chrome,Windows
2014-08-01T00:11:35.000Z,Chrome,OSX
2014-08-01T00:11:35.000Z,Safari,OSX
2014-08-01T00:11:35.000Z,IE,Windows
2014-08-01T00:11:36.000Z,Firefox,OSX
2014-08-01T00:11:36.000Z,Firefox,Windows
2014-08-01T00:11:36.000Z,Firefox,Linux
2014-08-01T00:11:36.000Z,Chrome,Windows
2014-08-01T00:11:36.000Z,Chrome,OSX
2014-08-01T00:11:36.000Z,Safari,OSX
2014-08-01T00:11:36.000Z,IE,Windows
2014-08-01T00:11:37.000Z,Firefox,OSX
2014-08-01T00:11:37.000Z,Firefox,Windows
2014-08-01T00:11:37.000Z,Firefox,Linux
2014-08-01T00:11:37.000Z,Chrome,Windows
2014-08-01T00:11:37.000Z,Chrome,OSX
2014-08-01T00:11:37.000Z,Safari,OSX
2014-08-01T00:11:37.000Z,IE,Windows
